  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Edward M. Felegy ES,Prince George's County,Elementary,1604,820,20,199,573,14,0,0,0,47.5,0.56,27,3,5.3,8.10%,14.80%,2,2.2,0,9.5,6.3,0,0,0,6.3,0,17.9,11.3,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.50%,96.30%,0,80.20%,100%,40,49,88.66%,1.6727,26.9307,-0.6677,140.4029,-0.5080,5.5999,-0.3400,27.8581,403.6775,24.5860,1.3051971
Flintstone Elementary 2,Prince George's County,Elementary,1208,423,0,135,272,10,0,0,0,53.3,0.63,45,4,7,12.30%,31.70%,2.1,2.7,0,3,15.1,0,0,0,11.2,0,16.4,37.6,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.70%,100%,0,85.20%,100%,38.5,68,83.14%,1.4648,31.1044,-0.6633,40.8149,-0.5469,0.8880,-0.3580,14.3707,152.9454,15.4959,0.1895966948
Forest Heights Elementary,Prince George's County,Elementary,1204,284,0,167,109,0,0,0,0,46,0.54,24,3,5.7,9.40%,17.30%,2,2.3,0,6.5,14.6,0,0,0,7.5,0,16.9,18.8,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.50%,100%,0,69%,100%,45,59,84.38%,1.5115,20.8833,-0.6747,0.7718,-0.5862,9.0348,-0.3320,9.6484,5.1656,6.7457,-0.8843020239
Fort Foote Elementary,Prince George's County,Elementary,1213,327,16,153,114,35,0,0,0,54.2,0.64,48,4,7,17.10%,24.30%,2.3,2.6,0,13.9,13.8,30,0,0,8.9,0,20.3,22.8,40,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.50%,97.80%,0,82.50%,100%,47,70.5,63.94%,0.7414,2.6918,-0.7077,3.9533,-0.5782,58.1601,-0.2737,11.1093,1.6748,8.8085,-0.6311373309
Fort Washington Forest Elementary,Prince George's County,Elementary,504,304,10,205,63,17,0,0,0,52.5,0.62,41,4,7.7,21.60%,26.40%,2.5,2.8,0,20.5,19.2,0,0,0,11.8,0,26.1,19.2,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.40%,96.20%,0,84%,100%,40,57,54.61%,0.3900,6.8274,-0.6968,8.6397,-0.5715,5.5540,-0.3402,10.3279,10.1634,6.4430,-0.9214459046
Francis Scott Key Elementary,Prince George's County,Elementary,617,490,0,383,92,0,0,0,0,41.4,0.49,16,3,6,11.80%,21.20%,2.1,2.3,0,10.8,14.6,0,0,0,11.4,0,17.5,34.1,0,0,1.8,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,98.70%,0,70.30%,100%,37,47,76.75%,1.2240,36.0311,-0.6585,48.1071,-0.5430,15.5882,-0.3201,16.6469,23.2654,11.8169,-0.2619230496
Francis T. Evans Elementary,Prince George's County,Elementary,916,375,46,235,72,0,0,0,0,54.4,0.64,48,4,8,23.70%,31.40%,2.6,2.7,26.7,18.4,25.6,0,0,6.3,18.2,33.3,31.1,23.1,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90%,98.30%,0,80.60%,100%,38,62.5,43.31%,-0.0357,12.3116,-0.6866,4.0764,-0.5780,11.9298,-0.3263,12.7400,16.5787,7.5919,-0.780449976
Gaywood Elementary,Prince George's County,Elementary,1411,531,24,162,331,0,0,0,0,52.1,0.61,39,4,6.9,19.70%,21.10%,2.4,2.5,18.2,17.4,19.6,0,0,4.3,15.7,27.3,21.7,18.4,0,0,4.3,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.10%,100%,0,83.50%,100%,44,54,81.16%,1.3902,5.7978,-0.6991,57.6864,-0.5383,16.8925,-0.3180,18.0398,170.0541,16.3851,0.298721201
Gladys Noon Spellman Elementary,Prince George's County,Elementary,211,606,46,278,261,19,0,0,0,51.8,0.61,38,4,7.5,21.60%,28.70%,2.4,2.6,31.3,20.2,21.7,0,0,12.5,20.6,33.3,33.1,23.3,0,0,8.3,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.90%,100%,0,84%,100%,47,48,84.20%,1.5047,0.0465,-0.7238,9.0626,-0.5710,0.0040,-0.3691,20.5878,29.1281,7.6700,-0.7708594934
Glassmanor Elementary,Prince George's County,Elementary,1214,298,0,104,185,0,0,0,0,54.4,0.64,48,4,6.9,12.10%,28.20%,2.2,2.7,0,10.4,12.2,0,0,0,12.3,0,31.3,25.9,0,0,5.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70%,100%,0,72.40%,100%,52.5,82,89.49%,1.7040,21.9128,-0.6734,21.7826,-0.5592,9.4802,-0.3310,10.1241,93.8959,12.5378,-0.173451099
Glenarden Woods Elementary,Prince George's County,Elementary,2010,469,39,320,63,37,0,0,0,61.7,0.82,95,5,16.2,79.20%,84.60%,3.9,4,92.9,75.9,75,100,0,0,75,89.3,84.1,81.3,91.3,0,0,81.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,93.30%,100%,51,67,46.38%,0.0799,0.5906,-0.7176,15.0814,-0.5647,32.6753,-0.2978,15.9335,46.2519,10.5135,-0.42188968
Glenn Dale Elementary,Prince George's County,Elementary,1408,569,17,423,89,28,0,0,10,49.5,0.58,32,3,8.7,23.30%,39.50%,2.6,3,0,24,16.7,30.8,0,14.3,8.3,0,43.9,19,23.1,0,11.6,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.50%,100%,0,85.30%,100%,34.5,40,49.73%,0.2061,14.7474,-0.6829,38.9883,-0.5479,5.4130,-0.3405,4.5039,42.8097,10.3181,-0.4458706811
Glenridge Elementary,Prince George's County,Elementary,2006,794,44,322,406,13,0,0,0,47.2,0.56,26,3,6.9,18.10%,23%,2.4,2.5,16.7,16.4,19,0,0,10.3,12.4,15.4,23.6,22.7,0,0,12.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.10%,93.30%,0,75.10%,100%,45,49,82.40%,1.4369,3.5442,-0.7050,29.9046,-0.5534,5.9499,-0.3391,26.9748,105.4020,13.1063,-0.1036731165
Greenbelt Elementary,Prince George's County,Elementary,2106,625,118,346,81,55,0,0,23,53,0.62,43,4,9.8,31.70%,46%,2.7,3.2,65.5,16.8,23.5,60.9,42.9,9.5,27.6,80,32.9,35.3,71.4,50,9.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.60%,94.80%,0,80.40%,100%,32,53,43.51%,-0.0282,112.9304,-0.6063,0.0202,-0.5914,62.0235,-0.2705,0.1470,65.0214,15.4965,0.1896725676
Heather Hills Elementary,Prince George's County,Elementary,712,363,60,232,23,32,0,0,12,62.2,0.83,96,5,15.8,80.40%,78.20%,4,3.9,89.1,76.1,84.2,100,0,0,0,80.4,77.8,68.4,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99%,0,94.80%,100%,64,53,22.80%,-0.8084,41.5623,-0.6535,5.3200,-0.5760,36.2214,-0.2940,0.0090,70.8316,12.4074,-0.1894470021
High Bridge Elementary,Prince George's County,Elementary,1412,388,24,272,71,11,0,0,0,53,0.62,43,4,8.1,26%,31.90%,2.6,2.6,0,24.5,21.3,0,0,21.3,13.9,0,28.1,34.8,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.20%,100%,0,82.10%,100%,45,50.5,46.15%,0.0713,0.7195,-0.7167,16.2405,-0.5637,0.1462,-0.3651,13.1817,19.9008,7.0844,-0.8427310008
Highland Park Elementary,Prince George's County,Elementary,1307,354,19,283,44,0,0,0,0,48.1,0.57,28,3,7.9,25.10%,30.30%,2.5,2.7,75,21.7,17.2,0,0,18.2,0,75,27.6,21.4,0,0,18.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.30%,100%,0,76%,100%,45,32.5,68.36%,0.9080,1.8989,-0.7107,40.2873,-0.5472,11.2617,-0.3276,12.0266,39.0408,10.2233,-0.4575034317
Hillcrest Heights Elementary,Prince George's County,Elementary,607,489,0,414,63,0,0,0,0,34.2,0.4,7,2,5.2,6.40%,14.50%,1.9,2.2,0,6.5,3.4,0,0,4,3.6,0,13.6,13.3,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.40%,97%,0,59.80%,98.50%,19,42,53.69%,0.3553,35.9575,-0.6586,78.6391,-0.5292,15.5564,-0.3201,16.6130,51.3083,14.0739,0.01507409203
Hollywood Elementary,Prince George's County,Elementary,2107,414,49,71,245,38,0,0,10,54.1,0.64,47,4,8.4,27.10%,31.70%,2.7,2.7,50,21.4,19.4,61.5,0,4.2,18.9,52.9,32.1,26.2,41.7,0,8.3,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.20%,100%,0,83.30%,100%,59.5,46.5,71.73%,1.0349,11.3124,-0.6883,107.6100,-0.5185,46.8099,-0.2836,1.1748,107.3065,16.5594,0.3201153095
Hyattsville Elementary,Prince George's County,Elementary,1601,546,94,154,271,0,0,0,11,50.5,0.59,35,3,6.7,14.80%,24.20%,2.2,2.5,37.5,7,10.3,0,0,0,9.1,47.5,23.9,14.7,0,0,4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30%,100%,0,75%,100%,54.5,62,70.69%,0.9957,72.2297,-0.6303,71.0281,-0.5323,17.3697,-0.3173,3.0725,62.1408,15.0280,0.1321709971
Indian Queen Elementary,Prince George's County,Elementary,1233,283,0,144,99,25,0,0,0,56.5,0.66,56,4,9.8,31.40%,44.50%,2.9,3.1,0,24.6,35.8,41.7,0,0,31,0,41.5,39.6,66.7,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.70%,100%,0,78.10%,100%,56,59,56.69%,0.4683,20.8098,-0.6748,0.8472,-0.5859,28.4244,-0.3026,9.6145,1.5382,7.8252,-0.751811572
J. Frank Dent Elementary,Prince George's County,Elementary,1231,326,0,287,25,0,0,0,0,35.7,0.42,9,2,5.2,5.50%,16.50%,1.8,2.3,0,4.2,14.3,0,0,4.5,16.7,0,16.3,14.3,0,0,4.8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,100%,0,59.30%,100%,35,42.5,76.38%,1.2101,23.9717,-0.6710,65.0044,-0.5350,10.3709,-0.3293,11.0753,56.8931,12.9350,-0.124693068
James H. Harrison Elementary,Prince George's County,Elementary,109,328,10,150,136,29,0,0,0,57.7,0.68,61,4,9.1,30.30%,40.50%,2.7,2.9,0,25.3,28.6,83.3,0,22.4,11.1,0,41.8,38.7,58.3,0,11.9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.90%,100%,0,82.50%,100%,63,68,68.37%,0.9083,8.2649,-0.6938,5.0610,-0.5764,33.0321,-0.2974,11.1433,11.8837,8.3298,-0.6898889639
James McHenry Elementary,Prince George's County,Elementary,2013,723,13,231,465,11,0,0,0,46.4,0.55,25,3,6.4,11.80%,22.40%,2.2,2.5,0,17,8.4,0,0,0,7.9,0,24.5,21.6,0,0,3.6,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.60%,93%,0,81.40%,100%,35,46,82.44%,1.4384,30.3430,-0.6641,69.5478,-0.5330,6.2613,-0.3383,24.5627,261.6169,19.8074,0.7187316131
James Ryder Randall Elementary,Prince George's County,Elementary,909,494,21,336,112,14,0,0,0,48.7,0.57,29,3,6.2,14.70%,17.30%,2.3,2.3,0,11,17.4,0,0,0,12.5,0,14,19.6,0,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.70%,98.20%,0,84.90%,100%,50.5,26,53.31%,0.3410,6.4655,-0.6976,15.3777,-0.5645,0.1873,-0.3644,16.7828,10.7893,7.0429,-0.847821986
John H. Bayne Elementary,Prince George's County,Elementary,1816,459,0,418,32,0,0,0,0,33.7,0.4,7,2,4.6,5%,10%,1.8,2,0,4.9,8.3,0,0,0,9.1,0,9.8,8.3,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.10%,98.30%,0,66.60%,100%,30,32.5,78.04%,1.2726,33.7515,-0.6607,109.0535,-0.5180,14.6020,-0.3217,15.5938,84.9863,16.0620,0.2590681842
Judge Sylvania W. Woods Sr. Elementary,Prince George's County,Elementary,1333,759,21,314,408,12,0,0,0,44.4,0.52,21,3,5.6,9.40%,16.50%,2,2.4,10,10.7,8.2,0,0,2.3,3.6,10,18,15.2,0,0,2.3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.60%,100%,0,73.60%,100%,41,52,87.21%,1.6181,21.7130,-0.6737,25.4349,-0.5565,6.1096,-0.3387,25.7858,128.5332,14.4075,0.05601972796
Kenilworth Elementary,Prince George's County,Elementary,708,333,91,146,65,16,0,0,11,53.6,0.63,46,4,10.8,38.10%,55%,2.9,3.2,46.2,30,40,40,0,0,30,64.1,48.6,54.3,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.90%,93.90%,0,86.40%,100%,36,43.5,31.58%,-0.4776,180.6740,-0.5745,7.4613,-0.5729,2.7591,-0.3489,0.0087,13.9278,14.3119,0.04428676562
Kettering Elementary,Prince George's County,Elementary,1324,434,0,397,21,0,0,0,0,46.7,0.55,26,3,7.3,17.40%,29.80%,2.3,2.6,0,15.8,0,0,0,5.9,9.5,0,29.1,9.1,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.20%,89.70%,0,75.10%,100%,36,45,57.97%,0.5165,31.9132,-0.6625,105.4508,-0.5192,13.8067,-0.3230,14.7444,95.3317,16.1631,0.2714824613
Kingsford Elementary,Prince George's County,Elementary,729,532,10,478,34,0,0,0,0,52.3,0.62,40,4,8.8,22.30%,42.40%,2.5,3,0,22.1,20,0,0,16,15,0,43.8,30,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.20%,100%,0,88.80%,100%,34,47,46.42%,0.0814,21.6757,-0.6737,118.0194,-0.5150,16.9243,-0.3180,18.0738,103.3446,16.6745,0.3342377642
Lake Arbor Elementary,Prince George's County,Elementary,1346,574,0,548,11,0,0,0,0,42.8,0.57,29,3,7.8,16.10%,34.90%,2.4,2.8,0,15.4,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,80.20%,100%,39,48,52.40%,0.3067,42.2078,-0.6529,171.6408,-0.4990,18.2605,-0.3160,19.5007,155.9634,20.1884,0.7654999757
Lamont Elementary,Prince George's County,Elementary,2014,562,11,150,373,18,0,0,0,59.1,0.7,66,4,7.9,28.90%,28.10%,2.6,2.5,0,37.8,24.4,0,0,33.3,20.6,0,40.3,23.4,0,0,33.3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.20%,100%,0,80.30%,100%,65,70.5,85.21%,1.5427,22.2534,-0.6730,81.6290,-0.5280,0.0008,-0.3695,19.0930,229.1260,18.7644,0.5907293229
Langley Park/McCormick Elementary,Prince George's County,Elementary,1719,857,15,30,805,0,0,0,0,51.7,0.61,38,4,6.6,16.30%,21.60%,2.3,2.4,0,28.6,15.9,0,0,0,8.8,0,42.9,20.6,0,0,7.1,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.80%,89.20%,0,90.90%,100%,34.5,57.5,96.36%,1.9628,36.5880,-0.6580,412.7369,-0.4476,27.2635,-0.3040,29.1151,1102.9652,40.1082,3.210209542
Laurel Elementary,Prince George's County,Elementary,1001,594,29,189,340,19,0,0,15,44.8,0.53,22,3,6.2,8.70%,22.10%,2.2,2.5,0,10,7.1,0,0,3.7,6.1,20,27.1,16.6,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.40%,98.70%,0,79.30%,100%,33,43,81.47%,1.4018,4.9328,-0.7012,57.7970,-0.5382,0.0006,-0.3696,1.3297,133.5752,14.0583,0.01315941249
Lewisdale Elementary,Prince George's County,Elementary,1712,688,0,72,606,0,0,0,0,58.9,0.69,65,4,7.3,23.50%,20%,2.6,2.6,0,31.4,21.2,0,0,0,19.9,0,48.6,14.5,0,0,3.6,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.80%,95.50%,0,85.10%,100%,65,65.5,85.57%,1.5563,50.5905,-0.6460,247.6939,-0.4803,21.8871,-0.3109,23.3737,728.7410,32.7458,2.306634668
Longfields Elementary,Prince George's County,Elementary,618,283,0,220,52,0,0,0,0,55.8,0.66,54,4,9.7,29.70%,47.60%,2.7,3.1,0,29.6,20,0,0,0,15.4,0,52.3,20.7,0,0,7.7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,88.90%,0,79.50%,100%,48,66,72.18%,1.0519,20.8098,-0.6748,26.7773,-0.5555,9.0030,-0.3320,9.6145,14.3415,8.9747,-0.6107324785
Magnolia Elementary,Prince George's County,Elementary,2122,498,15,355,84,38,0,0,0,55.2,0.65,52,4,7.8,25.50%,27.40%,2.5,2.6,0,24.6,19.5,57.9,0,8.7,23.9,0,27.6,17.1,47.4,0,13.6,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.60%,100%,0,90.90%,100%,45,52,64.40%,0.7588,12.7636,-0.6859,24.2210,-0.5573,30.9887,-0.2997,16.9187,31.6835,10.7970,-0.3870887615
Marlton Elementary,Prince George's County,Elementary,1511,304,12,264,13,0,0,0,0,46.4,0.62,42,4,8.7,20.80%,42.40%,2.5,3.1,0,19.6,0,0,0,15.4,0,0,42,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98%,0,82.60%,98%,33,68,40.33%,-0.1480,4.7958,-0.7015,56.3205,-0.5389,9.6711,-0.3307,10.3279,69.6909,12.2803,-0.2050470483
"Mary Harris ""Mother"" Jones Elementary",Prince George's County,Elementary,1730,971,0,66,883,0,0,0,0,46.8,0.55,26,3,5.5,11.60%,13.80%,2,2.2,0,4.5,11.7,0,0,0,8.8,0,40.9,11.7,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.10%,99.30%,0,81%,100%,41.5,48,88.22%,1.6561,71.4003,-0.6309,409.6212,-0.4482,30.8901,-0.2998,32.9881,1133.7684,40.9716,3.316165336
Mattaponi Elementary,Prince George's County,Elementary,1102,367,20,317,0,0,0,0,19,48.2,0.64,49,4,10.7,43.20%,45.70%,3.1,3.2,50,41.2,0,0,40,22.2,0,57.1,42.4,0,0,60,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.70%,0,85%,100%,51,40,27.52%,-0.6306,1.8087,-0.7111,66.0201,-0.5345,11.6753,-0.3268,3.4218,113.3486,14.0098,0.007208892407
Melwood Elementary,Prince George's County,Elementary,1504,470,22,320,112,0,0,0,0,47.3,0.56,27,3,6.1,9.50%,22.90%,2.1,2.4,0,7.3,17.4,0,0,0,14.7,0,22.6,17.8,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.40%,98.80%,0,83.80%,100%,36,49,52.15%,0.2973,4.5649,-0.7021,14.7852,-0.5650,14.9520,-0.3211,15.9675,7.5751,7.6056,-0.7787685631
Montpelier Elementary,Prince George's County,Elementary,1424,571,13,353,158,20,0,0,26,50.1,0.59,34,3,8.5,24.60%,35.50%,2.6,2.9,0,21,19.4,0,0,0,18.8,0,34.4,23.9,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.70%,100%,0,83.30%,100%,41,36,62.81%,0.6989,20.0122,-0.6758,4.9233,-0.5766,0.1854,-0.3645,2.2463,1.9102,5.4109,-1.048118294
Mt Rainier Elementary,Prince George's County,Elementary,1703,336,34,63,228,0,0,0,0,51,0.6,36,3,5.7,8.70%,14.90%,2.2,2.3,33.3,7.1,6.6,0,0,0,3.8,41.7,14.3,12.5,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.40%,100%,0,79.20%,100%,51,60.5,81.93%,1.4192,3.4953,-0.7052,80.0955,-0.5286,10.6891,-0.3286,11.4150,148.7081,15.9500,0.2453276273
North Forestville Elementary,Prince George's County,Elementary,610,358,0,276,71,0,0,0,0,43.4,0.51,19,3,4.9,7%,12.40%,1.9,2,0,3.8,19.4,0,0,3,6.9,0,11.9,13.9,0,0,4.5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,100%,0,73.20%,100%,44,51,70.88%,1.0029,26.3247,-0.6683,31.9885,-0.5521,11.3889,-0.3273,12.1625,14.1604,9.7992,-0.509544102
Northview Elementary,Prince George's County,Elementary,716,715,59,532,56,36,0,0,24,47.8,0.56,27,3,7.3,18.90%,27.10%,2.4,2.6,35.7,14.9,11.1,52.9,0,7.7,15.6,21.4,26.7,25.9,41.2,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.50%,99.20%,0,82.50%,100%,35,47,43.45%,-0.0305,0.7849,-0.7163,49.3193,-0.5424,7.7230,-0.3348,0.0035,123.0300,13.4484,-0.06168486697
Oaklands Elementary,Prince George's County,Elementary,1009,412,21,189,188,13,0,0,0,46.1,0.54,24,3,7.1,20.90%,21%,2.5,2.5,0,29.9,13.8,0,0,15,11.8,0,22.1,20.3,0,0,5,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75%,100%,0,76.20%,100%,29,46,80.87%,1.3792,2.8521,-0.7072,6.1624,-0.5747,0.0009,-0.3695,13.9970,29.0061,7.2124,-0.8270219343
Oxon Hill Elementary,Prince George's County,Elementary,1201,278,14,156,83,19,0,0,0,36.5,0.43,10,2,6.8,19.70%,19.60%,2.4,2.4,30,15.9,25,23.1,0,2.4,24.2,40,15.7,17.5,38.5,0,4.8,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.90%,98.10%,0,59.70%,100%,27,40,68.48%,0.9125,2.0302,-0.7102,0.0700,-0.5905,11.6629,-0.3268,9.4446,0.0953,4.8273,-1.119736641
Paint Branch Elementary,Prince George's County,Elementary,2123,370,48,122,168,25,0,0,0,56.8,0.67,57,4,8,28.40%,24.30%,2.7,2.7,59.1,25.5,22.8,0,0,6.4,17.6,40.9,20,21.5,0,0,6.4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.40%,100%,0,86.20%,100%,64.5,55,73.85%,1.1148,15.8908,-0.6813,32.4950,-0.5518,14.8687,-0.3212,12.5701,25.2580,10.0540,-0.4782788526
Panorama Elementary,Prince George's County,Elementary,656,598,0,510,71,0,0,0,0,45.4,0.53,23,3,7.3,20.20%,27.90%,2.4,2.6,0,20.4,18.5,0,0,27.5,15,0,28.7,22.2,0,0,33.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.80%,100%,0,66.50%,100%,42.5,54,69.35%,0.9453,43.9726,-0.6514,100.2330,-0.5211,19.0240,-0.3149,20.3161,69.9872,15.9227,0.2419768544
Patuxent Elementary,Prince George's County,Elementary,305,265,0,233,18,0,0,0,0,40.5,0.54,24,3,6.6,9%,25.60%,2.2,2.7,0,8.5,0,0,0,0,0,0,23.9,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.80%,0,83%,100%,37.5,38.5,51.50%,0.2728,19.4862,-0.6764,52.4831,-0.5408,8.4304,-0.3333,9.0029,49.8044,11.7986,-0.2641666957
Perrywood Elementary,Prince George's County,Elementary,304,647,0,604,25,0,0,0,0,56.5,0.66,56,4,10.5,35.30%,49.20%,3,3.2,0,34.6,46.2,0,0,2.6,26.3,0,48.9,41.7,0,0,10.3,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,100%,0,89.20%,100%,51,52,41.56%,-0.1017,47.5757,-0.6484,173.7923,-0.4985,20.5828,-0.3126,21.9807,152.9547,20.4178,0.793647993
Phyllis E. Williams Elementary,Prince George's County,Elementary,1322,356,0,315,22,0,0,0,0,48.5,0.65,51,4,9,28.20%,36.90%,2.7,3,0,29.3,0,0,0,0,0,0,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,89.20%,100%,49.5,46.5,30.06%,-0.5349,26.1777,-0.6685,72.9139,-0.5316,11.3253,-0.3274,12.0945,70.3532,13.8876,-0.007792363899
Pointer Ridge Elementary,Prince George's County,Elementary,718,351,22,261,36,14,0,0,17,53.9,0.63,47,4,8.8,26.90%,38.20%,2.6,3,0,24.3,23.8,0,0,14.3,9.5,0,37.1,19,0,0,21.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.40%,100%,0,88.90%,100%,41.5,49,42.90%,-0.0512,0.5624,-0.7178,24.0955,-0.5574,0.7191,-0.3592,2.1602,48.3619,8.7120,-0.6429771456
Port Towns Elementary,Prince George's County,Elementary,217,1150,17,362,758,0,0,0,0,45,0.53,22,3,5.5,12.30%,13.60%,2.1,2.2,0,17.2,10.4,0,0,0,8.1,0,15.2,12.5,0,0,3.3,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.10%,97.60%,0,74.10%,100%,39,60.5,85.69%,1.5608,53.9803,-0.6433,115.2110,-0.5159,36.5846,-0.2936,39.0693,456.8519,26.4896,1.5388232
Potomac Landing Elementary,Prince George's County,Elementary,510,389,11,299,44,30,0,0,0,58,0.68,62,4,8.5,30.90%,29.60%,2.7,2.7,0,30.7,13.6,68.8,0,11.5,23.8,0,30.5,14.3,53.3,0,7.7,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71%,98.50%,0,85.80%,100%,61.5,53,42.03%,-0.0840,10.8344,-0.6891,34.0368,-0.5508,25.1016,-0.3067,13.2156,48.2574,11.4650,-0.3051106092
Princeton Elementary,Prince George's County,Elementary,619,368,0,238,109,0,0,0,12,39.6,0.47,14,3,6,14.80%,16.40%,2.2,2.3,0,10.7,23.5,0,0,4.3,16.7,0,14,17.6,0,0,4.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,97.40%,0,65%,100%,33,41,74.73%,1.1479,27.0601,-0.6675,6.3482,-0.5745,11.7071,-0.3267,0.0202,0.1909,6.7325,-0.885919531
