  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Luxmanor Elementary,Montgomery County,Elementary,220,523,200,76,99,120,0,0,28,67.8,0.8,92,5,13.7,64.90%,64.70%,3.7,3.6,68.2,42.9,50,86.7,78.6,0,45.6,72.9,38.9,50,82.5,78.6,5.3,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.60%,98.80%,0,87%,100%,69.5,62,17.07%,-1.0243,4.8373,-0.7014,8.2785,-0.5719,39.6802,-0.2904,0.3576,15.0294,8.2573,-0.6987825663
Maryvale Elementary,Montgomery County,Elementary,210,650,142,169,225,64,0,0,48,60.4,0.71,70,4,10.8,43.80%,45.60%,3.2,3.2,72,32.4,20.2,75,55,7.7,22,65.3,33.8,33.3,60,55,11.5,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.80%,100%,0,87.30%,100%,52.5,56,43.87%,-0.0146,23.5547,-0.6715,10.8937,-0.5689,4.9999,-0.3417,2.0973,10.5759,7.2195,-0.8261463176
Meadow Hall Elementary,Montgomery County,Elementary,212,423,79,51,217,46,0,0,27,56.8,0.67,57,4,9.4,39.60%,33.90%,2.9,2.8,64.5,31.3,27.8,59.1,60,12.8,21,54.8,25,22.4,54.5,60,5.1,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.50%,100%,0,83.70%,100%,65,50,56.77%,0.4713,25.5496,-0.6692,13.8424,-0.5659,1.4819,-0.3545,0.1068,83.2186,11.1445,-0.3444457105
Mill Creek Towne Elementary,Montgomery County,Elementary,556,389,75,62,185,42,0,0,23,51.2,0.6,36,4,9.7,44.70%,34%,3,2.8,66.7,20,36.3,82.4,50,5,35.8,61.1,24,18.6,72.2,50,5,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.40%,100%,0,82.90%,100%,38,42,49.74%,0.2065,21.5206,-0.6739,3.4739,-0.5791,1.4639,-0.3546,0.0043,54.0258,8.9715,-0.6111256192
Monocacy Elementary,Montgomery County,Elementary,652,146,106,0,21,0,0,0,10,53.7,0.72,72,4,12.2,53.20%,56.60%,3.4,3.3,61.5,0,33.3,0,0,20,0,69.2,0,36.4,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.20%,100%,53,57,17.81%,-0.9964,70.8715,-0.6312,29.4685,-0.5537,18.9940,-0.3149,0.1782,9.5391,11.3601,-0.3179858859
North Chevy Chase Elementary,Montgomery County,Elementary,415,281,162,50,39,11,0,0,19,71.3,0.84,97,5,14.3,64.70%,72.60%,3.6,3.8,73.6,53.1,35.1,63.6,78.9,29.6,28.2,79.9,60.4,45.9,90.9,84.2,46.2,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.20%,100%,0,93.70%,100%,68,64,13.78%,-1.1482,53.2728,-0.6439,0.7954,-0.5861,17.8668,-0.3166,0.2763,19.7579,9.5901,-0.5352165743
Oak View Elementary,Montgomery County,Elementary,766,471,52,91,295,22,0,0,11,56.8,0.67,58,4,9.9,38%,40.50%,3,3,96.1,41.8,22.1,72.2,90.9,7.9,12.5,98,51.9,23.2,72.2,81.8,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.40%,100%,0,87.50%,100%,41,57,71.07%,1.0101,67.7329,-0.6333,0.1739,-0.5894,25.1739,-0.3066,10.5174,204.0318,17.5394,0.4403865657
Oakland Terrace Elementary,Montgomery County,Elementary,769,488,173,57,170,36,0,0,50,69.5,0.82,94,5,12.6,55.40%,60%,3.4,3.4,68.8,48.4,39.1,76.9,66.7,25,36.6,73.4,54.8,42.2,84.6,61.9,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.40%,100%,0,93.60%,100%,62,78,32.79%,-0.4321,1.0968,-0.7144,17.4830,-0.5626,11.9004,-0.3264,14.7195,8.4689,7.3259,-0.8130925783
Olney Elementary,Montgomery County,Elementary,502,686,319,118,103,95,0,0,51,66,0.78,88,5,12.1,57%,50.40%,3.5,3.3,64.2,43.1,30.4,67.3,82.1,25,29.8,52.7,43.1,30.4,67.3,64.3,22.7,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.70%,99.10%,0,87%,99.10%,69.5,63,18.54%,-0.9689,39.6929,-0.6551,3.0237,-0.5800,0.3710,-0.3622,2.3748,40.7276,9.2839,-0.5727952244
Pine Crest Elementary,Montgomery County,Elementary,761,468,136,107,183,26,0,0,14,56.9,0.67,58,4,11.2,49.60%,47.30%,3.3,3.1,84.2,37.1,24.4,73.1,78.6,14,12.1,87.1,35.4,18.8,64,78.6,12,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.40%,100%,0,91.80%,100%,47,41,47.77%,0.1323,1.9342,-0.7106,1.6646,-0.5832,19.9877,-0.3135,7.0387,21.1408,7.1949,-0.8291742006
Piney Branch Elementary,Montgomery County,Elementary,749,660,240,238,125,20,0,0,36,60.8,0.72,72,4,11,45.90%,46.70%,3.2,3.2,72.9,25.5,20.2,60,80.6,15.9,17.4,72.9,27.5,24.4,57.9,69.4,15.9,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78%,100%,0,90.20%,100%,51,53,31.25%,-0.4901,2.6498,-0.7079,82.4254,-0.5277,50.5217,-0.2802,0.3203,18.9234,12.4435,-0.1850195201
Poolesville Elementary,Montgomery County,Elementary,153,448,297,26,56,34,0,0,34,67.7,0.8,92,5,12.8,63.60%,54%,3.6,3.4,64.2,54.5,45.2,85.7,78.3,14.3,12.5,51.6,63.6,45.2,78.6,65.2,9.5,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84%,100%,0,91.60%,100%,66,62,11.75%,-1.2247,154.0903,-0.5861,45.8997,-0.5441,10.1172,-0.3298,1.9023,38.0107,15.8120,0.2283922702
Potomac Elementary,Montgomery County,Elementary,601,444,195,25,27,169,0,0,28,66.3,0.78,88,5,16.1,82.60%,78.50%,4,4,79.4,0,0,89.3,78.6,50,68.2,72,0,0,85.4,71.4,50,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.20%,100%,0,91.10%,100%,47,62,2.04%,-1.5905,16.9538,-0.6798,46.5906,-0.5438,214.2185,-0.1852,0.0723,75.6771,18.8019,0.5953358081
