  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Melwood Elementary,Prince George's County,Elementary,1504,470,22,320,112,0,0,0,0,47.3,0.56,27,3,6.1,9.50%,22.90%,2.1,2.4,0,7.3,17.4,0,0,0,14.7,0,22.6,17.8,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.40%,98.80%,0,83.80%,100%,36,49,52.15%,0.2304
Montpelier Elementary,Prince George's County,Elementary,1424,571,13,353,158,20,0,0,26,50.1,0.59,34,3,8.5,24.60%,35.50%,2.6,2.9,0,21,19.4,0,0,0,18.8,0,34.4,23.9,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.70%,100%,0,83.30%,100%,41,36,62.81%,0.2266
Mt Rainier Elementary,Prince George's County,Elementary,1703,336,34,63,228,0,0,0,0,51,0.6,36,3,5.7,8.70%,14.90%,2.2,2.3,33.3,7.1,6.6,0,0,0,3.8,41.7,14.3,12.5,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.40%,100%,0,79.20%,100%,51,60.5,81.93%,0.2708
North Forestville Elementary,Prince George's County,Elementary,610,358,0,276,71,0,0,0,0,43.4,0.51,19,3,4.9,7%,12.40%,1.9,2,0,3.8,19.4,0,0,3,6.9,0,11.9,13.9,0,0,4.5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,100%,0,73.20%,100%,44,51,70.88%,0.2626
Northview Elementary,Prince George's County,Elementary,716,715,59,532,56,36,0,0,24,47.8,0.56,27,3,7.3,18.90%,27.10%,2.4,2.6,35.7,14.9,11.1,52.9,0,7.7,15.6,21.4,26.7,25.9,41.2,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.50%,99.20%,0,82.50%,100%,35,47,43.45%,0.2295
Oaklands Elementary,Prince George's County,Elementary,1009,412,21,189,188,13,0,0,0,46.1,0.54,24,3,7.1,20.90%,21%,2.5,2.5,0,29.9,13.8,0,0,15,11.8,0,22.1,20.3,0,0,5,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75%,100%,0,76.20%,100%,29,46,80.87%,0.2251
Oxon Hill Elementary,Prince George's County,Elementary,1201,278,14,156,83,19,0,0,0,36.5,0.43,10,2,6.8,19.70%,19.60%,2.4,2.4,30,15.9,25,23.1,0,2.4,24.2,40,15.7,17.5,38.5,0,4.8,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.90%,98.10%,0,59.70%,100%,27,40,68.48%,0.2101
Paint Branch Elementary,Prince George's County,Elementary,2123,370,48,122,168,25,0,0,0,56.8,0.67,57,4,8,28.40%,24.30%,2.7,2.7,59.1,25.5,22.8,0,0,6.4,17.6,40.9,20,21.5,0,0,6.4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.40%,100%,0,86.20%,100%,64.5,55,73.85%,0.1944
Panorama Elementary,Prince George's County,Elementary,656,598,0,510,71,0,0,0,0,45.4,0.53,23,3,7.3,20.20%,27.90%,2.4,2.6,0,20.4,18.5,0,0,27.5,15,0,28.7,22.2,0,0,33.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.80%,100%,0,66.50%,100%,42.5,54,69.35%,0.2819
Patuxent Elementary,Prince George's County,Elementary,305,265,0,233,18,0,0,0,0,40.5,0.54,24,3,6.6,9%,25.60%,2.2,2.7,0,8.5,0,0,0,0,0,0,23.9,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.80%,0,83%,100%,37.5,38.5,51.50%,0.2895
Perrywood Elementary,Prince George's County,Elementary,304,647,0,604,25,0,0,0,0,56.5,0.66,56,4,10.5,35.30%,49.20%,3,3.2,0,34.6,46.2,0,0,2.6,26.3,0,48.9,41.7,0,0,10.3,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,100%,0,89.20%,100%,51,52,41.56%,0.3058
Phyllis E. Williams Elementary,Prince George's County,Elementary,1322,356,0,315,22,0,0,0,0,48.5,0.65,51,4,9,28.20%,36.90%,2.7,3,0,29.3,0,0,0,0,0,0,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,89.20%,100%,49.5,46.5,30.06%,0.2912
Pointer Ridge Elementary,Prince George's County,Elementary,718,351,22,261,36,14,0,0,17,53.9,0.63,47,4,8.8,26.90%,38.20%,2.6,3,0,24.3,23.8,0,0,14.3,9.5,0,37.1,19,0,0,21.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.40%,100%,0,88.90%,100%,41.5,49,42.90%,0.2347
Port Towns Elementary,Prince George's County,Elementary,217,1150,17,362,758,0,0,0,0,45,0.53,22,3,5.5,12.30%,13.60%,2.1,2.2,0,17.2,10.4,0,0,0,8.1,0,15.2,12.5,0,0,3.3,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.10%,97.60%,0,74.10%,100%,39,60.5,85.69%,0.2813
Potomac Landing Elementary,Prince George's County,Elementary,510,389,11,299,44,30,0,0,0,58,0.68,62,4,8.5,30.90%,29.60%,2.7,2.7,0,30.7,13.6,68.8,0,11.5,23.8,0,30.5,14.3,53.3,0,7.7,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71%,98.50%,0,85.80%,100%,61.5,53,42.03%,0.2506
Princeton Elementary,Prince George's County,Elementary,619,368,0,238,109,0,0,0,12,39.6,0.47,14,3,6,14.80%,16.40%,2.2,2.3,0,10.7,23.5,0,0,4.3,16.7,0,14,17.6,0,0,4.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.40%,97.40%,0,65%,100%,33,41,74.73%,0.2422
Ridgecrest Elementary,Prince George's County,Elementary,1710,692,12,222,455,0,0,0,0,50.7,0.6,35,3,5.7,12.60%,14.20%,2.1,2.2,0,15.3,11.3,0,0,0,6.9,0,20.2,11.5,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56%,97.50%,0,85.20%,100%,51.5,51.5,94.85%,0.2802
Riverdale Elementary,Prince George's County,Elementary,1901,750,30,60,628,26,0,0,0,48.5,0.57,28,3,6.1,13.90%,19.80%,2.2,2.3,60,19,10.5,0,0,4,9,53.3,23.8,17.1,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.80%,91.40%,0,74.50%,100%,46,63.5,87.14%,0.3398
Robert Frost Elementary,Prince George's County,Elementary,2016,282,11,105,157,0,0,0,0,50,0.59,33,3,7.4,16.40%,29.10%,2.4,2.7,0,18.6,13.5,0,0,7.1,7.6,0,28.8,26.1,0,0,9.5,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.40%,100%,0,83.60%,100%,34,44.5,82.23%,0.2483
Robert R. Gray Elementary,Prince George's County,Elementary,1828,441,10,320,103,0,0,0,0,48.6,0.57,29,3,6.7,13.90%,24.90%,2.2,2.5,0,13.9,13,0,0,4.3,7.5,0,29.1,10.9,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,98.30%,0,72.90%,100%,57.5,51,73.58%,0.2474
Rockledge Elementary,Prince George's County,Elementary,1432,337,51,195,64,11,0,0,13,57.7,0.68,61,4,7.9,21.20%,31.80%,2.5,2.8,31.6,19.8,10.7,0,0,4.2,0,36.8,33.3,17.9,0,0,4.2,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.80%,100%,0,89.80%,100%,51,50.5,36.50%,0.1717
Rogers Heights Elementary,Prince George's County,Elementary,210,805,0,95,679,19,0,0,0,55.4,0.65,53,4,7,15.60%,26.30%,2.3,2.6,0,22.7,14.7,0,0,0,13.3,0,27.3,26,0,0,3.2,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.20%,100%,0,81.80%,100%,56,67,92.54%,0.3466
Rosa L. Parks Elementary,Prince George's County,Elementary,1731,684,10,78,589,0,0,0,0,48.5,0.57,29,3,7,21.40%,20.70%,2.5,2.4,0,16.7,21.9,0,0,12.5,14.4,0,13.9,21.4,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.80%,100%,0,80.60%,100%,35.5,54,90.72%,0.3499
Rosaryville Elementary,Prince George's County,Elementary,1105,406,23,334,31,13,0,0,0,44.7,0.53,21,3,5.7,8.20%,20.10%,2,2.4,0,7.2,18.2,0,0,5.5,21.4,0,19.6,18.2,0,0,3.6,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,95.10%,0,87.50%,100%,25,35,48.66%,0.2585
Rose Valley Elementary,Prince George's County,Elementary,507,336,10,210,101,10,0,0,0,40.5,0.48,15,3,5.7,8.90%,22.30%,1.8,2.3,0,8.3,5.8,0,0,0,0,0,20.8,17.3,0,0,12,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.40%,90.90%,0,72%,100%,28,46.5,64.24%,0.2289
Samuel Chase Elementary,Prince George's County,Elementary,1216,345,0,265,66,0,0,0,0,41,0.48,16,3,7.2,21.10%,28.70%,2.2,2.5,0,19.6,23.8,0,0,26.9,20,0,28.1,23.8,0,0,23.1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36%,74.40%,0,70.40%,100%,39.5,49.5,62.04%,0.2615
Scotchtown Hills Elementary,Prince George's County,Elementary,1014,743,45,374,274,22,0,0,20,53.6,0.63,46,4,6.6,15%,19.50%,2.4,2.5,35,13.6,9.6,50,0,15.4,9.9,40,19.6,11.8,58.3,0,2.6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.80%,99.20%,0,85.60%,100%,52,52.5,63.37%,0.2094
Seabrook Elementary,Prince George's County,Elementary,2003,334,10,141,164,14,0,0,0,59.8,0.7,69,4,10.1,45.70%,36.80%,3.1,2.9,0,42.6,43.1,0,0,26.7,41.2,0,37.7,33.3,0,0,13.3,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.70%,87%,0,87.30%,100%,57.5,59,78.76%,0.2360
Seat Pleasant Elementary,Prince George's County,Elementary,1802,356,0,293,53,0,0,0,0,46.7,0.55,25,3,5.9,13%,16.80%,2.1,2.3,0,13.5,11.5,0,0,10.8,0,0,14.8,26.9,0,0,9.5,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.30%,100%,0,72.90%,100%,51.5,56,64.27%,0.2743
Springhill Lake Elementary,Prince George's County,Elementary,2113,843,30,345,446,11,0,0,0,39.1,0.46,13,3,5.3,7.20%,15.40%,1.9,2.3,14.3,3.7,8.6,0,0,16.3,4.1,14.3,18.6,11.9,0,0,12.8,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.50%,98.40%,0,68.70%,98.40%,24.5,47,86.34%,0.2434
Suitland Elementary,Prince George's County,Elementary,661,549,0,436,106,0,0,0,0,45.3,0.53,22,3,5.8,9.70%,19.90%,2,2.3,0,8.4,14,0,0,0,5.3,0,19.1,22.4,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.60%,100%,0,70.60%,100%,50,49.5,55.86%,0.2683
Tayac Elementary,Prince George's County,Elementary,905,370,12,260,83,11,0,0,0,43,0.51,18,3,6.4,14.20%,21%,2.1,2.5,0,12.4,12.9,0,0,0,15.8,0,17.4,25.8,0,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.10%,98.40%,0,68.20%,100%,34,54,58.06%,0.2376
Templeton Elementary,Prince George's County,Elementary,214,889,114,187,448,131,0,0,0,51.9,0.61,39,4,7,17.50%,24.40%,2.4,2.5,21.7,19.3,16.7,11.1,0,2.4,12.9,18.2,24.7,24.4,18.2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.50%,99.10%,0,80.50%,100%,52,51.5,88.60%,0.2135
Thomas S. Stone Elementary,Prince George's County,Elementary,1706,654,23,148,470,0,0,0,0,47.2,0.56,26,3,5.8,12.30%,17.30%,2.1,2.2,0,16.1,12.1,0,0,0,6.6,0,23,14.7,0,0,1.8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.70%,93.10%,0,77.60%,100%,40.5,50,87.90%,0.2954
Tulip Grove Elementary,Prince George's County,Elementary,711,323,113,154,38,13,0,0,0,62.4,0.73,78,4,10.5,29.90%,54.80%,2.8,3.5,40,28.2,13.3,0,0,5.6,0,58,57.6,26.7,0,0,16.7,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.60%,98.30%,0,87%,100%,58,69.5,28.44%,0.0878
University Park Elementary,Prince George's County,Elementary,1902,574,165,141,216,47,0,0,0,55.9,0.66,54,4,9.8,34.20%,44.60%,2.8,3.1,66.3,25,9.9,78.6,0,8,11.7,80,39.1,17.3,71.4,0,10.2,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.60%,100%,0,85.90%,100%,49,56.5,47.82%,0.1345
Valley View Elementary,Prince George's County,Elementary,1218,447,13,257,157,17,0,0,0,52.3,0.62,40,4,9.2,30.10%,39.80%,2.7,2.9,0,29.4,25.4,0,0,5.6,17.5,0,44.5,22.5,0,0,5.3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.70%,100%,0,74.90%,100%,44,62,76.42%,0.2268
Vansville Elementary,Prince George's County,Elementary,111,775,19,452,189,93,0,0,17,52.7,0.62,42,4,8.8,26.90%,35.30%,2.8,2.9,0,26.2,14.9,45,0,5.9,12.3,0,35,29.9,45,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.90%,97.60%,0,86.60%,100%,35,48,45.38%,0.2166
Waldon Woods Elementary,Prince George's County,Elementary,914,689,26,569,73,17,0,0,0,45.4,0.53,23,3,6.4,14.80%,19.40%,2.2,2.5,0,14.3,13.8,0,0,0,12.5,0,19.4,13.8,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.90%,98.10%,0,83.60%,100%,35,36,46.07%,0.2641
Whitehall Elementary,Prince George's County,Elementary,1438,597,182,289,79,37,0,0,0,64.2,0.76,83,5,13,53.30%,66.30%,3.4,3.6,56.8,46.2,58.3,86.7,0,8.3,33.3,67,64.8,61.1,86.7,0,25,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.10%,98.10%,0,91.90%,100%,59.5,54,23.24%,0.1017
William Beanes Elementary,Prince George's County,Elementary,636,470,0,343,116,0,0,0,0,41.8,0.49,17,3,5.2,6%,15.80%,1.8,2.3,0,5.2,9.1,0,0,0,7.7,0,15.7,15.9,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.60%,100%,0,73.90%,100%,30,52,85.07%,0.2557
William Paca Elementary,Prince George's County,Elementary,1309,598,39,355,160,38,0,0,0,49.1,0.58,30,3,5.7,10.30%,19%,1.9,2.3,7.7,10.6,10.4,0,0,12.5,9.4,0,17.7,24.2,0,0,4.2,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.50%,98.60%,0,77.80%,100%,41,57,62.60%,0.2077
Woodmore Elementary,Prince George's County,Elementary,706,447,0,387,25,19,0,0,0,57.7,0.68,61,4,9.9,34.10%,44.10%,2.9,3.1,0,32.6,13.3,80,0,14.3,15.8,0,46,6.7,40,0,17.9,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88%,100%,0,89.80%,100%,36,54.5,37.09%,0.2851
Woodridge Elementary,Prince George's County,Elementary,2007,358,0,55,295,0,0,0,0,59.1,0.7,66,4,8.1,23.90%,30%,2.7,2.7,0,25,23.6,0,0,0,15,0,28.6,29.7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,100%,0,75.90%,100%,74.5,78,88.24%,0.3387
Yorktown Elementary,Prince George's County,Elementary,1427,381,65,240,32,27,0,0,14,63,0.74,81,4,11.1,36.20%,56.50%,3,3.5,48.3,36.3,35.7,25,0,6.3,0,65.5,56.6,42.9,41.7,0,6.3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.30%,96.40%,0,90.10%,100%,47.5,67,22.92%,0.1754
Benjamin Stoddert Middle,Prince George's County,Middle,615,614,0,514,87,0,0,0,0,43.7,0.53,35,3,5.5,7.70%,16.10%,2,2.3,0,5.8,16.3,0,0,1.5,5.4,0,15,21.8,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10%,37.10%,0,85.40%,99.40%,53,54,72.79%,0.2779
Benjamin Tasker Middle School,Prince George's County,Middle,714,841,114,588,90,26,0,0,17,52.3,0.63,64,4,9.2,26.10%,42.80%,2.6,3.1,51.8,20.7,21.3,50,29.4,11.1,6.5,57.3,38.6,39.1,66.7,64.7,13.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.30%,87.60%,0,84.10%,88.60%,57,53,35.61%,0.2036
Buck Lodge Middle,Prince George's County,Middle,2108,1167,17,177,943,22,0,0,0,44.4,0.53,38,3,6.2,13.60%,22%,2.1,2.3,20,17,12.6,33.3,0,8.1,2.8,30.8,30.4,19.7,47.6,0,7.4,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.30%,93.30%,0,83.60%,72.90%,49,49,84.76%,0.3304
Charles Carroll Middle,Prince George's County,Middle,2011,1220,27,414,750,16,0,0,0,42.7,0.51,32,3,7,15%,26.90%,2.2,2.6,21.4,15.7,14,23.1,0,4.6,3.1,20.7,28.8,25.6,40,0,3.1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.80%,77.30%,0,87.30%,39.20%,45,50,78.04%,0.2669
Drew Freeman Middle,Prince George's County,Middle,660,777,0,628,123,0,0,0,10,33,0.4,12,2,5,3.20%,15.80%,1.8,2.2,0,2.4,5,0,0,0,3,0,15.6,14.4,0,0,0.9,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.10%,88.50%,0,71.40%,98.90%,32,40,74.97%,0.2704
Dwight D. Eisenhower Middle,Prince George's County,Middle,1010,931,31,510,348,25,0,0,12,37.9,0.46,21,3,6.4,10.10%,24.20%,2.1,2.6,17.2,11.2,5.4,34.8,16.7,0,2.4,23.3,22.6,23.3,65.2,16.7,2.6,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.60%,66.20%,0,78.10%,85.60%,35,44,68.35%,0.2250
Ernest Everett Just Middle,Prince George's County,Middle,1348,733,0,662,32,16,0,0,12,46,0.55,44,3,8.1,17.20%,38.70%,2.4,2.9,0,16.1,17.2,33.3,36.4,8.9,4.3,0,37.6,34.5,73.3,45.5,10.1,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,71%,0,90%,66.80%,47,56,52.09%,0.2961
G. James Gholson Middle,Prince George's County,Middle,1320,860,10,657,183,0,0,0,0,40,0.48,27,3,5.2,4%,17.50%,1.9,2.2,0,3.8,5,0,0,0,1.4,0,17.3,18.9,0,0,1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.80%,91.70%,0,72.60%,99%,42,43,70.75%,0.2585
Greenbelt Middle,Prince George's County,Middle,2141,1315,116,658,447,63,0,0,23,46.8,0.56,48,3,8.2,24.30%,35%,2.5,2.8,54.2,25.2,12,47.5,22.2,11.2,4,62.6,36.5,22.9,49.2,50,8.3,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.10%,64.40%,0,79.90%,94.50%,51,56,65.71%,0.1951
Gwynn Park Middle,Prince George's County,Middle,1104,616,28,499,59,0,0,0,27,55.3,0.67,73,4,7.9,16.10%,35.80%,2.4,3,29.6,15.4,12.3,0,24,5,0,53.8,35.1,36.8,0,32,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.30%,74.10%,0,84.70%,98.20%,60,70,35.38%,0.2583
Hyattsville Middle,Prince George's County,Middle,1602,861,55,238,531,15,0,0,11,48.3,0.58,53,3,7.3,15.60%,29.80%,2.3,2.7,54.9,13.1,11.9,26.7,0,2.3,0.6,68.6,33.3,23.5,33.3,0,8.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.80%,78.30%,0,80.30%,90.60%,53,56,75.23%,0.2567
Isaac J. Gourdine Middle,Prince George's County,Middle,912,574,0,413,133,15,0,0,0,38.5,0.46,22,3,6.5,11.70%,25.80%,2.1,2.5,0,9,18,26.7,0,2.1,0,0,23.5,32.3,35.7,0,2.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,84.90%,0,72%,64%,45,51,54.53%,0.2514
James Madison Middle,Prince George's County,Middle,1510,792,19,693,59,0,0,0,0,54.3,0.65,70,4,7.8,15.40%,34.20%,2.4,2.9,33.3,14.5,20.3,0,0,0,5.3,50,33.2,37.9,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,86.90%,0,91%,99.20%,53,55,44.98%,0.2823
Kenmoor Middle,Prince George's County,Middle,1330,885,55,603,169,38,0,0,15,53.9,0.65,69,4,9.8,31.60%,47.80%,2.7,3.1,50.9,30.8,22.6,44.4,50,8.7,2.6,67.9,49,34.1,60.7,53.3,11.3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.40%,91.20%,0,85.70%,99%,49,65,61.24%,0.2214
Kettering Middle,Prince George's County,Middle,1326,733,0,629,77,0,0,0,12,43,0.52,33,3,6.5,14.30%,23.10%,2.2,2.4,0,13.3,16.2,0,20,16.7,6.3,0,23.4,17.8,0,30,18.1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.80%,88.80%,0,86.10%,81%,45,44,54.90%,0.2832
Martin Luther King Jr. Middle,Prince George's County,Middle,110,762,45,394,220,68,0,0,31,49.1,0.59,57,3,9.1,27.30%,40.30%,2.7,3,50,24.2,20.7,47,35.7,3.2,3.5,54.8,41.7,28.1,59.1,42.9,3.2,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.80%,94.50%,0,81.60%,100%,52,51,49.55%,0.1989
Nicholas Orem Middle,Prince George's County,Middle,1718,986,0,198,767,0,0,0,0,39.9,0.48,26,3,5.3,6.90%,15.90%,1.9,2.2,0,6.4,6.8,0,0,0,1.6,0,16.7,15.4,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.80%,64.40%,0,83.70%,85.60%,41,44,84.52%,0.3221
Oxon Hill Middle,Prince George's County,Middle,1234,759,16,370,311,45,0,0,13,37,0.45,20,2,6.4,10.60%,25.80%,2,2.6,25,9.2,9,27.9,16.7,14.9,1.3,37.5,25.7,22.1,50,16.7,7.9,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.40%,70.90%,0,74.60%,67.70%,33,52,77.71%,0.2267
Samuel Ogle Middle,Prince George's County,Middle,1428,892,96,589,128,50,0,0,23,55.7,0.67,74,4,10.4,29%,56.10%,2.7,3.4,44.6,27.3,20.3,43.8,22.7,12.2,11.8,68.5,56.4,41.5,58.3,63.6,16.2,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40%,94.90%,0,93.30%,99%,47,62,28.16%,0.2011
Stephen Decatur Middle,Prince George's County,Middle,915,695,19,540,116,12,0,0,0,41.4,0.5,29,3,6,8.60%,21.20%,2.1,2.5,31.3,7.8,7.5,8.3,0,6,5.6,43.8,20.5,15.4,50,0,10,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28%,88.30%,0,83%,89.60%,43,44,52.64%,0.2548
Thomas Johnson Middle,Prince George's County,Middle,2009,1170,26,569,520,40,0,0,0,42.7,0.51,32,3,6.6,11.90%,25.50%,2.2,2.6,22.2,13.3,7.9,35.1,0,5.1,3.4,40.7,29.5,18.2,54.1,0,5.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.10%,86.60%,0,86.90%,91.20%,40,43,69.18%,0.2337
Thurgood Marshall Middle School,Prince George's County,Middle,622,598,0,439,140,0,0,0,0,32.6,0.39,11,2,5.8,10.40%,18.90%,2,2.3,0,7,17.1,0,0,0,5.4,0,16,24.8,0,0,1.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.70%,52.20%,0,62.50%,96%,43,36,67.38%,0.2558
Walker Mill Middle,Prince George's County,Middle,1819,734,0,657,56,0,0,0,0,39.3,0.47,24,3,7.6,14.60%,35.20%,2.3,2.8,0,13.7,15.7,0,0,0,0,0,33.5,44,0,0,2.9,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.70%,74.30%,0,75.80%,98.20%,39,48,58.02%,0.2939
William Wirt Middle,Prince George's County,Middle,1908,1137,25,225,842,37,0,0,0,38.5,0.46,23,3,6.2,9.40%,23.90%,2.1,2.5,21.1,9,8.8,14.3,0,3.7,3.7,23.5,23.5,24.2,17.2,0,2.8,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.40%,74%,0,68%,58.20%,50,59.5,88.27%,0.3054
Academy of Health Sciences at PGCC,Prince George's County,High School,1350,464,18,326,60,52,0,0,0,77.1,0.96,99,5,27.1,90.30%,98.90%,3.9,4.7,0,93.9,0,69.2,0,0,0,0,98.5,0,100,0,0,0,100,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,100%,100%,99.10%,100%,0,0,41.81%,0.2317
Bladensburg High,Prince George's County,High School,208,1915,30,499,1350,22,0,0,0,36.3,0.4,16,2,11.2,9.40%,40.20%,2.1,2.9,0,11.8,7.3,0,0,2.9,1.6,0,37.7,40.4,0,0,9.3,4.5,70.12,0,83.02,63.95,0,0,71.21,53.85,72.8,0,84.62,66.88,0,0,80,58.73,47.50%,42.40%,63.90%,54.50%,44.60%,0,0,69.72%,0.2945
Bowie High,Prince George's County,High School,1423,2424,275,1653,287,105,0,0,99,55.7,0.62,51,4,15.8,33.20%,61.20%,2.4,3.5,55.4,30.3,31.7,35.5,24,9.6,9.1,78.8,55.9,60.9,76.7,80,12,0,94.03,92.71,95.71,89.58,0,0,82.61,0,94.7,92.71,96.46,91.67,0,0,83.33,0,61.90%,52.50%,90.90%,77.70%,59.60%,0,0,26.40%,0.2047
Central High,Prince George's County,High School,1810,927,20,609,277,10,0,0,0,36.9,0.41,17,2,10.2,14%,28.20%,2.2,2.5,0,13.2,12.5,0,0,19.4,11.9,0,31.8,7.9,0,0,20.6,2.6,77.41,0,82.97,56.6,0,0,0,0,79.49,0,85.39,57.69,0,0,0,0,47%,44.50%,66.70%,60.80%,45.10%,0,0,56.07%,0.2381
