  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,Segregation Index
Shiloh Middle,Carroll County,Middle,807,661,562,21,32,22,0,0,23,53.1,0.73,87,4,12.9,52.10%,65.30%,3.4,3.7,51.8,33.3,63.3,72.7,43.5,10.4,0,66.4,38.1,60,77.3,60.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.10%,0,89.40%,97.70%,44.5,64,16.77%,0.1692
Sykesville Middle,Carroll County,Middle,504,761,637,30,43,35,0,0,15,56.7,0.78,93,5,13.7,63.80%,65.20%,3.6,3.7,64.8,43.3,41.9,88.6,64.3,17,0,65.7,53.3,46.5,91.4,57.1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.60%,0,92%,100%,53,62,10.64%,0.1629
Westminster East Middle,Carroll County,Middle,701,712,543,47,61,23,0,0,35,52.4,0.63,64,4,11.1,43.50%,52.50%,3.1,3.3,47.9,15.2,31.6,47.8,35.3,8.5,6.7,55.7,44.7,39.3,47.8,44.1,8.4,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.50%,98.80%,0,83.10%,97.90%,41,62,30.56%,0.1349
Westminster West Middle,Carroll County,Middle,703,962,773,40,76,33,0,0,35,57.2,0.69,79,4,12.2,49.40%,59.30%,3.2,3.5,53.6,22.2,28.2,51.5,28.1,12.8,11.8,62.9,38.9,38,57.6,50,12.8,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.90%,94.30%,0,86.90%,98.80%,48,67,21.09%,0.1523
Century High,Carroll County,High School,510,1133,966,35,58,36,0,0,34,66.7,0.83,94,5,23.9,73.30%,89%,3.5,4.3,73.9,0,50,0,0,14.3,0,88.9,0,100,0,0,14.3,0,95.4,95.11,0,0,0,0,0,0,96.9,96.85,0,0,0,0,0,0,0,83%,96.60%,88.60%,81.10%,0,0,7.80%,0.1700
Francis Scott Key High,Carroll County,High School,202,921,822,37,30,0,0,0,23,56.9,0.71,71,4,17.8,51.30%,56.70%,3,3.4,51.1,0,0,0,0,20,0,57.3,0,0,0,0,25,0,98.7,98.62,0,0,0,0,0,0,99.13,99.08,0,0,0,0,0,0,0,76.50%,85%,80.40%,80.90%,0,0,28.89%,0.1821
Liberty High,Carroll County,High School,507,1101,945,28,64,34,0,0,23,68.1,0.85,96,5,22.8,71%,82.50%,3.3,4.2,70.5,0,68.8,0,0,8.3,0,82.6,0,76.5,0,0,16.7,0,98.34,98.18,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,88.30%,98.40%,90.40%,90.60%,0,0,4.17%,0.1727
Manchester Valley High,Carroll County,High School,602,1341,1205,36,54,26,0,0,16,59.1,0.74,77,4,19.7,52.60%,71%,3.1,3.9,51.9,0,57.1,0,0,18.8,0,71.7,0,68.8,0,0,28.1,0,97.15,97.89,0,0,0,0,90.63,0,97.77,98.59,0,0,0,0,96.67,0,0,77.10%,89%,83.40%,73.20%,0,0,14.89%,0.1856
South Carroll High,Carroll County,High School,1401,1048,915,22,68,19,0,0,19,64,0.8,90,5,22.6,73.30%,79.90%,3.4,4,74.2,0,0,0,0,10,0,81.9,0,0,0,0,40,0,98.05,99.11,0,0,0,0,0,0,98.82,99.55,0,0,0,0,0,0,0,82.40%,93.10%,85.20%,79.80%,0,0,8.77%,0.1783
Westminster High,Carroll County,High School,707,1537,1322,69,57,44,0,0,43,61.9,0.77,84,5,20.9,63.60%,75%,3.1,3.9,66.3,27.8,50,81.8,0,16.2,0,77.6,58.8,46.7,81.8,0,30.8,0,97.05,97.21,0,0,0,0,0,0,97.58,97.82,0,0,0,0,0,0,0,80.40%,96.60%,85.10%,80.70%,0,0,11.01%,0.1698
Winters Mill High,Carroll County,High School,704,1113,846,80,111,39,0,0,36,65.9,0.73,76,4,19,59.80%,60.20%,3.2,3.5,63.6,28.6,41.2,0,0,14.3,0,64.1,46.2,44.4,0,0,9.5,0,92.11,94.55,0,81.82,0,0,0,0,94.68,95.5,0,87.88,0,0,0,0,78.10%,79.50%,93.70%,83.20%,74.10%,0,0,24.75%,0.1322
Bainbridge Elementary,Cecil County,Elementary,704,311,261,11,12,0,0,0,25,46.2,0.62,41,4,9.7,37%,40.70%,2.9,2.9,39.8,0,0,0,36.4,3.3,0,43.5,0,0,0,36.4,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,79.90%,100%,53,42,54.87%,0.1682
Bay View Elementary,Cecil County,Elementary,510,542,413,49,30,0,0,0,44,41.9,0.56,27,3,7.7,23.30%,27.30%,2.6,2.6,23.4,22.7,0,0,28.6,6.7,0,27.9,31.8,0,0,14.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.80%,0,79.60%,100%,36,52,50.09%,0.1328
